City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
225,Olafsvik,IS,64.8945,-23.7142,36.54,61,17,18.5,few clouds,2022-05-01 19:40:38
226,Caborca,MX,30.5838,-111.101,87.24,11,0,18.25,clear sky,2022-05-01 19:40:39
227,Dhidhdhoo,MV,6.8833,73.1,85.08,75,72,15.61,broken clouds,2022-05-01 19:40:39
228,Alice Springs,AU,-23.7,133.8833,56.75,72,75,0.0,broken clouds,2022-05-01 19:40:40
229,Riacho De Santana,BR,-13.6092,-42.9389,84.52,36,54,9.73,broken clouds,2022-05-01 19:40:40
230,Sarh,TD,9.1429,18.3923,87.98,42,21,3.18,few clouds,2022-05-01 19:40:41
231,Sinnamary,GF,5.3833,-52.95,81.19,76,48,11.52,scattered clouds,2022-05-01 19:40:41
232,San Rafael,AR,-34.6177,-68.3301,63.88,23,1,7.94,clear sky,2022-05-01 19:40:41
233,Lac Du Bonnet,CA,50.2536,-96.0612,34.88,97,100,13.49,overcast clouds,2022-05-01 19:40:42
234,Mackay,AU,-21.15,149.2,70.68,94,40,8.05,light rain,2022-05-01 19:40:42
235,Bac Lieu,VN,9.285,105.7244,82.2,81,94,4.76,overcast clouds,2022-05-01 19:40:43
236,Waipawa,NZ,-41.4122,175.5153,57.96,77,100,12.48,overcast clouds,2022-05-01 19:40:43
237,Port Hardy,CA,50.6996,-127.4199,53.78,71,100,6.91,overcast clouds,2022-05-01 19:40:44
238,Honolulu,US,21.3069,-157.8583,78.62,72,75,16.11,light rain,2022-05-01 19:36:33
239,Palembang,ID,-2.9167,104.7458,75.96,96,85,4.07,overcast clouds,2022-05-01 19:40:44
240,Dharchula,IN,29.85,80.5333,64.67,47,100,6.31,overcast clouds,2022-05-01 19:40:44
241,Magnor,SE,59.9511,12.1996,47.93,47,82,6.4,broken clouds,2022-05-01 19:40:45
242,Kisangani,CD,0.5167,25.2,72.46,90,100,2.62,light rain,2022-05-01 19:40:45
243,Badiraguato,MX,25.3667,-107.5167,88.7,8,100,7.45,overcast clouds,2022-05-01 19:40:46
244,Gornyy,RU,55.1153,83.9059,45.43,83,100,4.7,overcast clouds,2022-05-01 19:40:46
245,Ancud,CL,-41.8697,-73.8203,53.65,84,72,6.76,broken clouds,2022-05-01 19:40:46
246,Miloslavskoye,RU,53.5815,39.4399,41.94,59,100,7.02,overcast clouds,2022-05-01 19:40:47
247,Sibolga,ID,1.7427,98.7792,76.14,89,100,3.27,overcast clouds,2022-05-01 19:40:47
248,Xai-Xai,MZ,-25.0519,33.6442,69.53,81,3,8.28,light rain,2022-05-01 19:40:48
249,Ketchikan,US,55.3422,-131.6461,45.07,93,100,10.36,mist,2022-05-01 19:39:12
250,Flin Flon,CA,54.7682,-101.865,31.84,80,100,11.5,overcast clouds,2022-05-01 19:40:48
251,Vanderhoof,CA,54.0166,-124.0198,57.0,41,100,7.67,overcast clouds,2022-05-01 19:39:22
252,Sisimiut,GL,66.9395,-53.6735,31.17,62,11,6.46,few clouds,2022-05-01 19:40:49
253,Chokurdakh,RU,70.6333,147.9167,19.8,99,82,10.6,broken clouds,2022-05-01 19:40:49
254,Beringovskiy,RU,63.05,179.3167,14.94,87,95,14.09,overcast clouds,2022-05-01 19:40:49
255,Porto Walter,BR,-8.2686,-72.7439,90.05,47,65,0.51,broken clouds,2022-05-01 19:40:50
256,Healdsburg,US,38.6105,-122.8692,78.98,34,0,3.0,clear sky,2022-05-01 19:40:50
257,Geraldton,AU,-28.7667,114.6,54.01,82,0,4.61,clear sky,2022-05-01 19:40:51
258,Srednekolymsk,RU,67.45,153.6833,31.23,89,100,1.99,overcast clouds,2022-05-01 19:37:05
259,Luena,AO,-11.7833,19.9167,59.61,63,26,4.52,scattered clouds,2022-05-01 19:40:51
260,Yuncheng,CN,35.0231,110.9928,52.68,33,0,3.71,clear sky,2022-05-01 19:40:52
