City_ID,City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Hotel Name
475,475,Zabid,14.1951,43.3152,87.26,42,100,8.68,YE,2022-04-30 20:45:02,مغرب التريبه
484,484,Harper,4.375,-7.7169,81.09,79,100,7.02,LR,2022-04-30 20:45:07,Screensaver
486,486,Talara,-4.5772,-81.2719,83.16,51,0,18.41,PE,2022-04-30 20:45:08,Hostal Oro Negro
494,494,Karangasem,-8.45,115.6167,78.6,84,57,1.34,ID,2022-04-30 20:45:12,Villa Campuhan
497,497,Pimenteiras,-6.2453,-41.4192,83.44,48,99,2.84,BR,2022-04-30 20:45:13,Hotel rotativo pimentas
498,498,Nogales,31.3086,-110.9422,86.72,4,0,6.91,MX,2022-04-30 20:45:13,Siesta Motel
501,501,Korhogo,9.45,-5.6333,78.76,62,68,10.51,CI,2022-04-30 20:45:15,Hôtel Tchinbota
507,507,Guantanamo,20.1444,-75.2092,83.77,65,56,7.34,CU,2022-04-30 20:45:17,Hotel Guantánamo
511,511,San Cristobal,7.7669,-72.225,84.38,85,99,5.84,VE,2022-04-30 20:46:19,Pirineos
513,513,Luis Correia,-2.8792,-41.6669,86.0,79,40,6.91,BR,2022-04-30 20:46:20,Hotel Amarração
515,515,Oriximina,-1.7656,-55.8661,79.52,89,66,3.04,BR,2022-04-30 20:46:21,Pousada Tia Amélia
518,518,Laguna,38.421,-121.4238,82.06,37,0,6.91,US,2022-04-30 20:46:23,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
519,519,Mormugao,15.4,73.8,81.5,77,0,10.07,IN,2022-04-30 20:46:23,Coconut Creek Resort
521,521,Canutama,-6.5339,-64.3831,78.87,93,98,1.25,BR,2022-04-30 20:46:25,Hotel Jhennifer
523,523,Minna,9.6139,6.5569,89.31,51,0,4.61,NG,2022-04-30 20:46:26,Royal Park hotel & suites
525,525,Sumenep,-7.0167,113.8667,80.62,82,93,9.84,ID,2022-04-30 20:46:26,OYO 3271 Homestay Pandian
526,526,Hobyo,5.3505,48.5268,84.74,72,50,11.16,SO,2022-04-30 20:46:27,Iftin hotel hobyo
527,527,Damaturu,11.747,11.9608,88.38,38,100,5.64,NG,2022-04-30 20:46:27,"Hayas Guest Inn, Central Roundabout, Gujba Road"
530,530,Pajan,-1.5667,-80.4167,83.12,69,98,1.74,EC,2022-04-30 20:46:29,Cecadel
532,532,Tucupita,9.0622,-62.051,86.23,57,100,6.6,VE,2022-04-30 20:46:30,Hotel Tucupita Su​ite C.A.
535,535,Carauari,-4.8828,-66.8958,80.94,92,76,1.39,BR,2022-04-30 20:46:31,Hotel Fellip
537,537,Urucara,-2.5364,-57.76,79.77,91,64,2.8,BR,2022-04-30 20:46:32,Pousada Maria Bonita
540,540,Kavieng,-2.5744,150.7967,82.02,73,100,2.93,PG,2022-04-30 20:46:33,Nusa Island Retreat
